,text,score
476,Several Belgian companies tie up with domestic companies,0.0
477,"Barclays appoints heads of equities for India, Korea",0.0
478,Analysts' recommendations on banking stocks,0.0
479,Too early to buy banking stocks: Deepak Mohoni,0.0
480,Bank Nifty may consolidate: Mitesh Thacker,0.0
481,Stock-specific action likely; all eyes on Bank Nifty,0.0
482,Bajaj Auto Q2 net at Rs 591 crore,0.0
483,Bafna Pharmaceuticals proposes to raise funds,0.0
484,Australia shares end flat ahead of bank results,0.0
485,Australia shares seen steady ahead of emergency summit,0.0
486,Aster Silicates IPO opens on Thursday,0.0
487,GST is a brahmastra to kick-start GDP: Assocham,0.0
488,Asian stocks mixed after Wall Street records,0.0
489,Hold on to Asian Paints: Deven Choksey,0.0
490,Asian Paints Q3 net at Rs 329.35 cr,0.0
491,"Asian currencies mixed, await US jobs data",0.0
492,Asia shares mixed after new Wall Street record,0.0
493,Asia Index launches S&P BSE dividend stability index,0.0
494,Asia to test bond record again in 2015,0.0
495,Ashoka Buildcon to issue shares to institutional investors,0.0
496,Ashok Leyland vice chairman V Sumantran resigns,0.0
497,Dheeraj Hinduja appointed Chairman of Ashok Leyland,0.0
498,ArthVeda Capital to launch Smart Alpha indices,0.0
499,"Apple Inc announces seven-part bond for buybacks, dividends",0.0
500,Fundamentally markets are fairly priced: Angel Broking,0.0
501,Ameriprise Financial closes financial planning division in India,0.0
502,Amar Ujala files IPO papers with Sebi,0.0
503,Sanjiv Mediratta joins Amalgamated Bean Coffee Trading Company,0.0
504,India's Lalita Gupte finds place in Alstom's Board,0.0
505,AkzoNobel India appoints Jayakumar Krishnaswamy as managing director,0.0
506,Air India bond sale extended to September 26,0.0
507,Adlabs Entertainment to make market debut on Monday,0.0
508,"ADAG identifies rogue brokers, seeks SEBI action",0.0
509,ABN Amro IPO values bank at $17.9 billion,0.0
510,Early triggers coming into ABG Shipyard: Rajesh Jain,0.0
511,ABB relying on short-term orders to lower risk,0.0
512,A2Z Engg plans Rs 350-cr public issue,0.0
513,Markets may move in 8000-8200 range,0.0
514,3i Infotech to begin talks for bond refinancing: Source,0.0
515,5150-5300 the big base for Nifty this year: IL&FS,0.0
516,7050 to 7080 cash level for Nifty: Ashwani Gujral,0.0
517,Abhay Kumar Singh is new CEO of SBI Cards,0.0
518,Alibaba set to price IPO shares amid investor frenzy,0.0
519,"Alkem Laboratories prices IPO at Rs 1,050 per share",0.0
520,Ambit Capital appoints Saurabh Mukherjea as Head of Equities,0.0
521,Amit Akali calls it quits at Grey Worldwide India,0.0
522,Anil Dua quits Hero MotoCorp; to pursue career abroad,0.0
523,Ansuman Das takes over as full-time CMD of NALCO,0.0
524,Arbitrageurs building positions in natural gas counter on MCX,0.0
525,"Arcil to pick stake in Spic, come on board",0.0
526,Arun Gupta appointed CMD of Shipping Corporation of India,0.0
527,Ashok Vidyasagar appointed as senior VP of Endemol India,0.0
528,"Asia stocks muted as China data, Wall St weighed",0.0
529,"Atanu Sen becomes new MD, CEO of SBI Life",0.0
